Mike D.,yes,15
Sarah Jenkins.,Loud and clear from Chicago!,16
dave.,ues,16
Chris M.,audio and video are synced perfectly,17
Amanda.,yep,18
John_Davies.,we are good to go,19
paul.,Y,19
Mark T.,ready to dive in.,20
Greg.,yes!,21
emily.,all good here,21
jason12.,Yes,22
TONY.,yea,22
Kevin.,ready to crush it.,23
Marcus.,yes we can see the screen,25
cole.,yes,26
blake T.,LFG!!!,27
justin.,yes,28
Scott P.,im ready,30
linda s.,loud and clear,32
RICHARD.,yes,35
Alex.,y,38
tony.,is there a replay? I have a client call in 20 mins,48
Sarah.,Usually they send a replay to registered emails,55
Josh.,hope there is a replay,58
Chris.,im turning off slack for this.,72
David R.,let's get to the meat of it,82
amanda.,Super excited to see this system,90
Jason.,been waiting all week for this presentation,105
kev.,affiliate marketing,134
emily.,Fractional CMO for tech startups,135
Brian H.,E-COM brand owner,136
jess.,B2B SaaS,138
marcus.,b2b consulting for accounting firms,139
cole.,Local SEO for roofers,140
blake.,Im doing affiliate marketing and some coaching,142
Justin.,lead gen agency,144
SCOTT.,i do consulting,145
linda.,Promoting affiliate offers in the wealth niche,147
richard.,selling digital products,148
alex.,real estate marketing,150
Tony.,High ticket fitness coaching,152
Sarah.,b2b software,155
chris.,marketing agency owner here,158
david.,affiliate marketing,161
amanda.,digital marketing,163
jason.,Ecom,165
kevin.,coaching,168
emily.,saas,170
amanda.,i literally have an amazing offer but no one to sell it to,238
jason.,fb ads are bleeding my margins dry rn,240
Kevin.,im trying to post on tiktok but getting zero qualified leads,242
emily.,Ads are way too expensive post-iOS updates.,244
Brian.,Traffic is the only thing holding my agency back,247
jessica.,ad costs are crazy,250
marcus.,im getting clicks but the lead quality is terrible,255
cole.,posting everyday for nothing is exhausting,260
blake.,organic takes too long and ads are too risky,265
justin.,my fb ad account got banned anyway so I need a new method,272
scott.,need a new traffic source badly,280
richard.,so accurate it hurts,285
alex.,yep,290
tony.,i feel this deeply,295
sarah.,im bleeding cash on google ads trying to find b2b clients,305
chris.,yes exactly,315
david.,literally me right now,325
Brian.,yes,345
JESSICA.,YES,347
marcus.,100% yes,350
cole.,if i had those leads my calendar would actually be full for once,352
blake.,yes absolutely,355
justin.,ues,358
scott.,Closing is easy. finding the right people is the hard part.,360
linda.,my business would blow up overnight,365
Richard.,yes,370
alex.,yes definitely,375
tony.,yep,380
sarah.,yes,385
chris.,YES,395
david.,I have the sales skills, I just need the at-bats.,405
amanda.,yes i need leads,415
jason.,yes,425
Sarah.,im glued to the screen,455
chris.,not going anywhere,460
David.,staying till the end,465
amanda.,im here,470
Jason.,lets go,480
kevin.,im here,490
emily.,ready,500
brian.,not leaving,515
kevin.,dude i spent 5k on courses this year alone and still stuck,658
emily.,the nightmare roadmap is literally my exact life right now,662
Brian.,this is attacking me personally lmaoo,665
jessica.,im stuck in the content creation rabbit hole everyday,668
Marcus.,tried everything. the algorithms keep changing and ruining my reach.,672
cole.,tired of buying courses that dont deliver real systems,676
blake.,this hits way too close to home,680
justin.,spending 15 hours a week posting for 2 likes is depressing,685
Scott.,the google cycle is brutally accurate,690
linda.,been there done that. it doesn't scale.,695
richard.,story of my life,700
alex.,omg yes,705
tony.,so true,708
LINDA.,yes please show us the daily task,712
Richard.,yes show us,718
alex.,ready to see it,725
Alex.,Person A obviously. The trust is already established.,758
Tony.,A,760
sarah.,person a,762
chris.,A for sure. Warm audiences always convert higher.,765
David.,Person A. making connections is everything in business,768
amanda.,a,770
Jason.,person a,772
KEVIN.,A,775
emily.,person a,778
Brian.,A,780
jessica.,Definitely A. Cold pitching is a numbers game I keep losing.,785
marcus.,person A,790
cole.,A!!!,795
blake.,Makes total sense. ive been doing it backwards trying to sell to cold traffic.,805
justin.,pitching cold traffic is a nightmare,815
scott.,linkedin for b2b 100%,1012
linda.,linkedin,1015
Richard.,LinkedIn is where the money is,1018
Alex.,LinkedIn converts way better than FB for high ticket.,1022
TONY.,LI,1025
sarah.,linkedin,1028
chris.,linkedin all day,1032
David.,the leads on linkedin actually have the budget to spend,1038
amanda.,FB leads are garbage compared to LinkedIn professionals.,1045
jason.,linked in,1050
kevin.,LinkedIn, but manual outreach takes me hours every day.,1055
emily.,linkedin for sure,1062
brian.,LI,1070
jason.,I want this,1250
kevin.,i want this,1252
emily.,Show us the software!,1254
BRIAN.,I WANT THIS,1256
jessica.,i need this bad,1258
marcus.,i want this,1260
cole.,Let's look under the hood.,1262
blake.,I want this so badly,1264
justin.,i want this,1266
scott.,show us the demo,1268
linda.,i want this,1270
richard.,i want this,1272
Alex.,i want this,1274
Tony.,I WANT THIS,1276
Sarah.,i want this rn,1278
chris.,Drop the demo!,1280
David.,i want this,1282
amanda.,I want this,1284
Jason.,i want this,1286
kevin.,i want this,1288
emily.,i want this,1290
Brian.,i want this,1292
Jessica.,I want this,1295
marcus.,Wait, so I can literally pull the likers from my competitor's viral post?,1408
cole.,poaching from viral posts is an incredibly smart angle.,1412
blake T.,thats an insane loophole,1416
Justin.,stealing engagement bypasses the cold outreach phase entirely.,1422
scott.,this is unfair in the best way possible lol,1428
linda.,poaching is genius,1434
Richard.,Does it scrape their direct contact info too?,1440
Alex.,stealing leads lol,1445
TONY.,That solves the targeting issue completely.,1452
sarah.,saves hours of manual searching,1460
chris.,automation is crazy,1468
David R.,poaching is genius,1475
amanda.,stealing leads lmaooo,1485
jason.,insane loophole,1495
