Josephine Y.,Hey guys live from Edmonton haha,2
Leland F.,dallas standing by,2
Nora P.,Hi Liverpool lol,2
Gavin P.,Hi Itamar,2
Johnnie C.,Hey guys Denver,2
Alan O.,Does it handle outbound?,4
Patty F.,Greetings live from Omaha!,4
Angela T.,New Orleans present all !!,4
Naomi U.,hello all jacksonville,4
Naomi V.,Hey guys here in Hamilton.,4
Noah P.,Hamilton ready..,5
Christine M.,hey all joining from Bakersfield haha,5
Eddie J.,stockton ready,5
Emmett D.,hey guys san diego,5
Olivia R.,greetings live from lexington,5
Cody Q.,Hey tuning in from San Antonio,5
Charlie G.,cincinnati ready lol,6
Gary W.,hey watching from mississauga haha,6
Lindsay K.,arlington checking in,6
Jeff V.,Hi everyone tuning in from Charlotte,7
Frances Y.,Los Angeles online,7
Kristen A.,fort worth online haha,7
Nellie S.,Hey Phoenix haha,7
Doris H.,Greetings Mississauga lol,7
Abe B.,hey guys st louis,7
Eric A.,hey guys live from louisville ready to learn,9
Kara C.,Hello all Colorado Springs,10
Ella V.,hi live from wichita all.,10
Melanie P.,Hey joining from Glasgow,10
Lily M.,hello guys lol,10
Marcella R.,tampa ready,10
Gavin P.,Hey guys from Tulsa!,11
Katrina S.,Hey guys live from Boston haha,11
Jaime Z.,hi anaheim !!,11
Norma T.,Finally,12
Erik Z.,connection check,12
Logan N.,greetings all joining from Colorado Springs.,12
Caroline X.,Hi team checking in from Honolulu,12
Darlene D.,hi here in tulsa,12
Marie M.,hey guys los angeles ,12
Jeanette R.,Hi everyone London ready to learn !!,13
Gabriella C.,hi team live from honolulu,14
Admin,"🔴 Yes! Unlike the old version, AI Gen 360 handles both Inbound AND Outbound.",16
Nellie T.,Las Vegas ready lol,16
Jasmine L.,colorado springs ready,16
Blanche D.,hey guys tuning in from long beach lol,16
Elena Y.,hey all tuning in from Oakland,16
Mabel D.,hi team baltimore ,17
Melody Q.,greetings from new orleans.,17
Bernard X.,Hi team checking in from Fresno,17
Austin I.,arlinton ready,17
Luis H.,Toronto is here haha,17
Carole B.,Hi team live from Toronto.,17
Faith A.,Hi everyone watching from Indianapolis haha,18
Marshall O.,hi all checking in from hamilton!,19
Nicholas W.,Hi everyone tuning in from San Jose,19
Leslie E.,greetings sydney,19
June K.,Hello joinin from Detroit,20
Malcolm N.,Tulsa online haha,21
Alexa G.,Winnipeg ready!,21
Michele B.,Perth checking in,23
Johnny N.,Bristol is here!,23
Dominic D.,greetings watching from baltimore ,23
Evan E.,hey guys checking in from wichita lol,23
Archie H.,cleveland online,25
Jasmine D.,let's go lol,25
Isaiah V.,Hi joining from Fort Worth lol,25
Jesse C.,bristol standing by lol,26
April P.,yo watching from Perth,26
Joshua Y.,Pittsburgh standing by haha,27
Bernice P.,bakersfield present lol,27
Karla H.,how big is the eu opportunity?,27
Elvira W.,Hi everyone from Edmonton everyone.,28
Nicole B.,Hi team Charlotte.,28
Abby X.,greetings from dallas,28
Ebony W.,fresno is here haha,28
Jessie U.,Hey guys tuning in from Jersey City all,28
Anne M.,Hi team tuning in from Nashville!,29
Betty U.,San Diego online lol,29
Cory J.,Honolulu online!,30
Alexa X.,chicago present!,30
Melba L.,tulsa present ,30
Deanna X.,does it send sms?,31
Naomi O.,charlotte present,31
Abe A.,hi checking in from st louis,31
Carrie Z.,Fresno present haha,32
Pearl X.,hello all live from denver! lol,32
Kelvin U.,Buffalo present!,32
Corey F.,oklahoma city is here ,32
Pamela P.,hi all stockton,32
Mickey H.,hey guys here in auckland,32
Nelson I.,Hi team here in Tulsa all!,36
Angela L.,St. Louis is here.,36
Marc X.,Hi everyone from Charlotte lol,37
Lance X.,hi team from san francisco.,37
Paulette B.,hey guys from tulsa ready to learn,38
Derrick L.,hey stockton haha,38
Christy M.,hi everyone tucson,38
Preston L.,Hey guys checking in from Ottawa haha,39
Heather U.,Hi from Santa Ana,39
Amy B.,hey guys portland haha,39
Helen Z.,new york present.,39
Lawrence W.,Hey guys Manchester!,39
Norman F.,greetings here in vancouver,39
Admin,"🔴 Yes, automated SMS actions are built-in.",40
Admin,🔴 There are 32 million small businesses across the 27 EU countries.,41
Irma M.,Hey from Vancouver everyone.,41
Everett L.,hello manchester everyone,41
Clifford M.,hey guys joining from charlotte haha,41
